,Year,StateAbbr,Data_Value,GeoLocation,Short_Question_Text,CityName,Median_Income
0,2016,CA,82.5,"(33.9565748018, -118.344444926)",Mammography,Inglewood,60990.0
1,2016,CA,8.2,"(33.8470531941, -118.122204765)",Teeth Loss,Lakewood,91447.0
13,2016,CA,60.4,"(33.8389076996, -117.857613481)",Dental Visit,Anaheim,75065.0
14,2016,CA,13.0,"(37.9777042922, -121.796606971)",Teeth Loss,Antioch,80207.0
15,2016,CA,81.5,"(37.8725678765, -122.274907975)",Mammography,Berkeley,88706.0
16,2016,CA,78.1,"(33.841891229, -117.994503534)",Mammography,Buena Park,79873.0
17,2016,CA,7.1,"(34.1813843875, -118.330989636)",Teeth Loss,Burbank,80706.0
18,2016,CA,79.7,"(33.1248051026, -117.282903303)",Mammography,Carlsbad,110478.0
19,2016,CA,8.1,"(33.950774546, -117.725326968)",Teeth Loss,Chino Hills,104887.0
20,2016,CA,66.0,"(32.6282964262, -117.010042407)",Dental Visit,Chula Vista,84483.0
21,2016,CA,79.7,"(37.9445651585, -122.008476066)",Mammography,Concord,80308.0
22,2016,CA,76.2,"(37.6861552276, -122.468298024)",Pap Smear Test,Daly City,97420.0
23,2016,CA,62.3,"(33.937867256, -118.131150116)",Dental Visit,Downey,75742.0
24,2016,CA,48.1,"(34.073919653, -118.029071951)",Dental Visit,El Monte,44707.0
25,2016,CA,79.0,"(38.2558446343, -122.039303253)",Pap Smear Test,Fairfield,83341.0
26,2016,CA,63.8,"(37.7961925102, -121.231230612)",Dental Visit,Manteca,73288.0
27,2016,CA,79.8,"(33.6909533045, -117.18487699)",Mammography,Menifee,70000.0
28,2016,CA,7.3,"(37.433869763, -121.892083025)",Teeth Loss,Milpitas,125872.0
29,2016,CA,15.2,"(37.6615478221, -120.988548061)",Teeth Loss,Modesto,57629.0
30,2016,CA,77.0,"(34.0392649464, -117.606427103)",Mammography,Ontario,66020.0
31,2016,CA,83.0,"(33.8046419567, -117.8231855)",Pap Smear Test,Orange,92080.0
32,2016,CA,79.2,"(34.1959237731, -119.18187657)",Mammography,Oxnard,70502.0
33,2016,CA,84.4,"(33.7897346094, -117.223291831)",Pap Smear Test,Perris,60252.0
34,2016,CA,73.5,"(34.0585026366, -117.762551658)",Mammography,Pomona,57535.0
35,2016,CA,5.5,"(34.0389207079, -117.783939307)",Teeth Loss,Pomona,57535.0
36,2016,CA,76.5,"(40.5697591271, -122.365026322)",Mammography,Redding,52340.0
37,2016,CA,54.1,"(34.1128158089, -117.388535978)",Dental Visit,Rialto,63158.0
38,2016,CA,80.8,"(37.9362254473, -122.393824754)",Mammography,Richmond,71406.0
39,2016,CA,71.0,"(38.7657516182, -121.302847708)",Dental Visit,Roseville,89679.0
40,2016,CA,80.2,"(34.2743610206, -119.231436551)",Mammography,San Buenaventura (Ventura),
50,2016,CA,7.5,"(37.3646197504, -121.967932117)",Teeth Loss,Santa Clara,123075.0
51,2016,CA,85.8,"(34.4119039185, -118.503504698)",Pap Smear Test,Santa Clarita,92736.0
52,2016,CA,65.7,"(38.4464423102, -122.706005935)",Dental Visit,Santa Rosa,81086.0
53,2016,CA,80.7,"(37.7324495349, -121.42121437)",Mammography,Tracy,101600.0
